Genuri comune,Genuri comune.1
"(IT) Genuri (SC) Giaùni, Jaùni","(IT) Genuri (SC) Giaùni, Jaùni"
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Medio Campidano
Amministrazione,Amministrazione
Sindaco,Sandro Branca (lista civica) dall'11-10-2021
Territorio,Territorio
Coordinate,39°44′38.72″N 8°55′25.43″E
Altitudine,243 m s.l.m.
Superficie,"7,52 km²"
Abitanti,294[1] (30-11-2025)
Densità,"39,1 ab./km²"
Comuni confinanti,"Baradili (OR), Sini (OR), Genoni (CA), Setzu, Turri"
Altre informazioni,Altre informazioni
Cod. postale,09020
Prefisso,070
Fuso orario,UTC+1
Codice ISTAT,117005
Cod. catastale,D970
Targa,VS
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) genuresi (SC) giaunesus/jaunesus
Patrono,santa Maria
Giorno festivo,8 settembre
Cartografia,Cartografia
Genuri,Genuri
Genuri – MappaPosizione del comune di Genuri nella provincia del Medio Campidano,Genuri – MappaPosizione del comune di Genuri nella provincia del Medio Campidano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
