Segariu comune,Segariu comune.1
(IT) Segariu (SC) Segarìu,(IT) Segariu (SC) Segarìu
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Medio Campidano
Amministrazione,Amministrazione
Sindaco,Andrea Fenu (lista civica) dal 31-5-2015 (2º mandato dal 26-10-2020)
Territorio,Territorio
Coordinate,39°33′46.64″N 8°58′58.32″E
Altitudine,129 m s.l.m.
Superficie,"16,69 km²"
Abitanti,1 070[1] (30-11-2025)
Densità,"64,11 ab./km²"
Comuni confinanti,"Furtei, Guasila (CA), Villamar"
Altre informazioni,Altre informazioni
Cod. postale,09040
Prefisso,070
Fuso orario,UTC+1
Codice ISTAT,117017
Cod. catastale,I570
Targa,VS
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) segariesi (SC) segariesus
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Segariu,Segariu
Segariu – MappaPosizione del comune di Segariu nella provincia del Medio Campidano,Segariu – MappaPosizione del comune di Segariu nella provincia del Medio Campidano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
