Setzu comune,Setzu comune.1
"(IT, SC) Setzu","(IT, SC) Setzu"
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Medio Campidano
Amministrazione,Amministrazione
Sindaco,Sandro Palla (lista civica) dall'11-10-2021
Territorio,Territorio
Coordinate,39°43′21″N 8°56′18.3″E
Altitudine,206 m s.l.m.
Superficie,"7,77 km²"
Abitanti,126[1] (30-11-2025)
Densità,"16,22 ab./km²"
Comuni confinanti,"Genoni (CA), Genuri, Gesturi, Tuili, Turri"
Altre informazioni,Altre informazioni
Cod. postale,09029
Prefisso,070
Fuso orario,UTC+1
Codice ISTAT,117020
Cod. catastale,I705
Targa,VS
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) setzesi (SC) setzesus
Patrono,san Leonardo
Cartografia,Cartografia
Setzu,Setzu
Setzu – MappaPosizione del comune di Setzu nella provincia del Medio Campidano,Setzu – MappaPosizione del comune di Setzu nella provincia del Medio Campidano
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
