Porto San Giorgio comune,Porto San Giorgio comune.1
,
Porto San Giorgio – VedutaPiazza San Giorgio vista da Largo del Teatro,Porto San Giorgio – VedutaPiazza San Giorgio vista da Largo del Teatro
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Fermo
Amministrazione,Amministrazione
Sindaco,Valerio Vesprini (Lista civica) dal 12-6-2022
Data di istituzione,1741
Territorio,Territorio
Coordinate,43°11′05.46″N 13°47′43.76″E
Altitudine,4 m s.l.m.
Superficie,"8,58 km²"
Abitanti,15 504[1] (30-11-2025)
Densità,"1 806,99 ab./km²"
Comuni confinanti,Fermo
Altre informazioni,Altre informazioni
Cod. postale,63822
Prefisso,0734
Fuso orario,UTC+1
Codice ISTAT,109033
Cod. catastale,G920
Targa,FM
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 644 GG[3]"
Nome abitanti,sangiorgesi[4][5]
Patrono,san Giorgio[5]
Giorno festivo,23 aprile[5]
Cartografia,Cartografia
Porto San Giorgio,Porto San Giorgio
Porto San Giorgio – MappaPosizione del comune di Porto San Giorgio nella provincia di Fermo,Porto San Giorgio – MappaPosizione del comune di Porto San Giorgio nella provincia di Fermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
