Monte San Pietrangeli comune,Monte San Pietrangeli comune.1
,
Monte San Pietrangeli – VedutaPanorama di Monte San Pietrangeli,Monte San Pietrangeli – VedutaPanorama di Monte San Pietrangeli
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Fermo
Amministrazione,Amministrazione
Sindaco,Paolo Casenove (lista civica) dal 6-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,43°11′31.71″N 13°34′42.89″E
Altitudine,241 m s.l.m.
Superficie,"18,45 km²"
Abitanti,2 144[1] (30-11-2025)
Densità,"116,21 ab./km²"
Frazioni,San Rustico
Comuni confinanti,"Corridonia (MC), Francavilla d'Ete, Monte San Giusto (MC), Montegiorgio, Montegranaro, Rapagnano, Torre San Patrizio"
Altre informazioni,Altre informazioni
Cod. postale,63815
Prefisso,0734
Fuso orario,UTC+1
Codice ISTAT,109023
Cod. catastale,F626
Targa,FM
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 922 GG[3]"
Nome abitanti,monsanpietrini
Patrono,san Biagio
Giorno festivo,3 febbraio
Cartografia,Cartografia
Monte San Pietrangeli,Monte San Pietrangeli
Monte San Pietrangeli – MappaPosizione del comune di Monte San Pietrangeli nella provincia di Fermo,Monte San Pietrangeli – MappaPosizione del comune di Monte San Pietrangeli nella provincia di Fermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
