Monte Urano comune,Monte Urano comune.1
,
Monte Urano – VedutaChiesa di San Michele Arcangelo e Municipio,Monte Urano – VedutaChiesa di San Michele Arcangelo e Municipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Fermo
Amministrazione,Amministrazione
Sindaco,Andrea Leoni (lista civica di centro-destra Cambiamo Insieme) dal 9-6-2024
Territorio,Territorio
Coordinate,43°12′21.46″N 13°40′19.38″E
Altitudine,247 m s.l.m.
Superficie,"16,72 km²"
Abitanti,7 786[1] (30-11-2025)
Densità,"465,67 ab./km²"
Comuni confinanti,"Fermo, Montegranaro, Sant'Elpidio a Mare, Torre San Patrizio"
Altre informazioni,Altre informazioni
Cod. postale,63813
Prefisso,0734
Fuso orario,UTC+1
Codice ISTAT,109024
Cod. catastale,F653
Targa,FM
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 870 GG[3]"
Nome abitanti,monturanesi
Patrono,san Michele Arcangelo
Giorno festivo,8 maggio
Cartografia,Cartografia
Monte Urano,Monte Urano
Monte Urano – MappaPosizione del comune di Monte Urano nella provincia di Fermo,Monte Urano – MappaPosizione del comune di Monte Urano nella provincia di Fermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
