Magliano di Tenna comune,Magliano di Tenna comune.1
,
Magliano di Tenna – Veduta,Magliano di Tenna – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Fermo
Amministrazione,Amministrazione
Sindaco,Pietro Cesetti (lista civica) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°08′18.06″N 13°35′11.62″E
Altitudine,293 m s.l.m.
Superficie,"7,93 km²"
Abitanti,1 402[1] (30-11-2025)
Densità,"176,8 ab./km²"
Comuni confinanti,"Fermo, Grottazzolina, Montegiorgio, Rapagnano"
Altre informazioni,Altre informazioni
Cod. postale,63832
Prefisso,0734
Fuso orario,UTC+1
Codice ISTAT,109010
Cod. catastale,E807
Targa,FM
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 924 GG[3]"
Nome abitanti,maglianesi
Patrono,san Gregorio Magno
Giorno festivo,12 marzo
Cartografia,Cartografia
Magliano di Tenna,Magliano di Tenna
Magliano di Tenna – MappaPosizione del comune di Magliano di Tenna nella provincia di Fermo,Magliano di Tenna – MappaPosizione del comune di Magliano di Tenna nella provincia di Fermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
