Provincia di Fermo provincia,Provincia di Fermo provincia.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Amministrazione,Amministrazione
Capoluogo,Fermo
Presidente,Michele Ortenzi (lista civica) dal 19-12-2021
Data di istituzione,30 giugno 2004[1]
Territorio,Territorio
Coordinate del capoluogo,43°09′37.51″N 13°43′05.16″E
Superficie,"862,77 km²"
Abitanti,166 855[2] (31-10-2025)
Densità,"193,39 ab./km²"
Comuni,40 comuni
Province confinanti,"Macerata, Ascoli Piceno"
Altre informazioni,Altre informazioni
Cod. postale,"63900, da 63811 a 63858"
Prefisso,"0734, 0736"
Fuso orario,UTC+1
ISO 3166-2,IT-FM
Codice ISTAT,109
Targa,FM
PIL,"(nominale) 4 157,6 mln €[3](2022)"
PIL procapite,(nominale) 24 118 €[3](2022)
Cartografia,Cartografia
Provincia di Fermo – Localizzazione,Provincia di Fermo – Localizzazione
Provincia di Fermo – MappaPosizione della provincia di Fermo all'interno delle Marche.,Provincia di Fermo – MappaPosizione della provincia di Fermo all'interno delle Marche.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
