Monte Giberto comune,Monte Giberto comune.1
,
Monte Giberto – VedutaPanorama di Monte Giberto visto da Contrada San Michele,Monte Giberto – VedutaPanorama di Monte Giberto visto da Contrada San Michele
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Fermo
Amministrazione,Amministrazione
Sindaco,Giovanni Palmucci (lista civica) dall'8-6-2009 (4º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°05′28.68″N 13°37′50.88″E
Altitudine,322 m s.l.m.
Superficie,"12,53 km²"
Abitanti,737[1] (30-11-2025)
Densità,"58,82 ab./km²"
Comuni confinanti,"Grottazzolina, Monte Vidon Combatte, Montottone, Petritoli, Ponzano di Fermo"
Altre informazioni,Altre informazioni
Cod. postale,63846
Prefisso,0734
Fuso orario,UTC+1
Codice ISTAT,109016
Cod. catastale,F517
Targa,FM
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 2 016 GG[3]"
Nome abitanti,montegibertesi
Patrono,san Nicola di Mira
Giorno festivo,6 dicembre
Cartografia,Cartografia
Monte Giberto,Monte Giberto
Monte Giberto – MappaPosizione del comune di Monte Giberto nella provincia di Fermo,Monte Giberto – MappaPosizione del comune di Monte Giberto nella provincia di Fermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
