Porto Sant'Elpidio comune,Porto Sant'Elpidio comune.1
,
Porto Sant'Elpidio – Veduta,Porto Sant'Elpidio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Fermo
Amministrazione,Amministrazione
Sindaco,Massimiliano Ciarpella (FdI) dal 29-5-2023
Data di istituzione,14 novembre 1952
Territorio,Territorio
Coordinate,43°15′31.1″N 13°45′30.71″E
Altitudine,4 m s.l.m.
Superficie,"18,13 km²"
Abitanti,25 767[1] (30-11-2025)
Densità,"1 421,24 ab./km²"
Frazioni,"Cretarola, Corva (frazioni), Marina Picena, Fonte di Mare, Faleriense, San Filippo, Centro (quartieri)."
Comuni confinanti,"Civitanova Marche (MC), Fermo, Sant'Elpidio a Mare"
Altre informazioni,Altre informazioni
Cod. postale,63821
Prefisso,0734
Fuso orario,UTC+1
Codice ISTAT,109034
Cod. catastale,G921
Targa,FM
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 644 GG[3]"
Nome abitanti,portoelpidiensi
Patrono,san Crispino di Soissons
Giorno festivo,25 ottobre
Cartografia,Cartografia
Porto Sant'Elpidio,Porto Sant'Elpidio
Porto Sant'Elpidio – MappaPosizione del comune di Porto Sant'Elpidio nella provincia di Fermo,Porto Sant'Elpidio – MappaPosizione del comune di Porto Sant'Elpidio nella provincia di Fermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
