Monsampietro Morico comune,Monsampietro Morico comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Fermo
Amministrazione,Amministrazione
Sindaco,Andrea Claudi (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,43°04′03.36″N 13°33′21.96″E
Altitudine,289 m s.l.m.
Superficie,"9,76 km²"
Abitanti,583[1] (30-11-2025)
Densità,"59,73 ab./km²"
Frazioni,Sant'Elpidio Morico
Comuni confinanti,"Belmonte Piceno, Monte Rinaldo, Monteleone di Fermo, Montelparo, Montottone"
Altre informazioni,Altre informazioni
Cod. postale,63842
Prefisso,0734
Fuso orario,UTC+1
Codice ISTAT,109012
Cod. catastale,F379
Targa,FM
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 2 064 GG[3]"
Nome abitanti,monsampietrini
Patrono,san Pietro
Giorno festivo,29 giugno
Cartografia,Cartografia
Monsampietro Morico,Monsampietro Morico
Monsampietro Morico – MappaPosizione del comune di Monsampietro Morico nella provincia di Fermo,Monsampietro Morico – MappaPosizione del comune di Monsampietro Morico nella provincia di Fermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
