Ponzano di Fermo comune,Ponzano di Fermo comune.1
,
Ponzano di Fermo – VedutaCastello di Ponzano di Fermo,Ponzano di Fermo – VedutaCastello di Ponzano di Fermo
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Fermo
Amministrazione,Amministrazione
Sindaco,Diego Mandolesi (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,43°06′05.62″N 13°39′29.52″E
Altitudine,248 m s.l.m.
Superficie,"14,27 km²"
Abitanti,1 591[1] (30-11-2025)
Densità,"111,49 ab./km²"
Frazioni,"Capparuccia, Torchiaro"
Comuni confinanti,"Fermo, Grottazzolina, Monte Giberto, Monterubbiano, Petritoli"
Altre informazioni,Altre informazioni
Cod. postale,63845
Prefisso,0734
Fuso orario,UTC+1
Codice ISTAT,109032
Cod. catastale,G873
Targa,FM
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 872 GG[3]"
Nome abitanti,ponzanesi
Patrono,san Marco Evangelista
Giorno festivo,25 aprile
Cartografia,Cartografia
Ponzano di Fermo,Ponzano di Fermo
Ponzano di Fermo – MappaPosizione del comune di Ponzano di Fermo nella provincia di Fermo,Ponzano di Fermo – MappaPosizione del comune di Ponzano di Fermo nella provincia di Fermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
