Monterubbiano comune,Monterubbiano comune.1
,
Monterubbiano – Veduta,Monterubbiano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Fermo
Amministrazione,Amministrazione
Sindaco,Meri Marziali (lista civica) dal 21-9-2020
Territorio,Territorio
Coordinate,43°05′07.26″N 13°43′00.48″E
Altitudine,463 m s.l.m.
Superficie,"32,24[1] km²"
Abitanti,1 964[2] (30-11-2025)
Densità,"60,92 ab./km²"
Frazioni,"Montotto, Rubbianello"
Comuni confinanti,"Fermo, Lapedona, Montefiore dell'Aso (AP), Moresco, Petritoli, Ponzano di Fermo"
Altre informazioni,Altre informazioni
Cod. postale,63825
Prefisso,0734
Fuso orario,UTC+1
Codice ISTAT,109022
Cod. catastale,F614
Targa,FM
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 181 GG[4]"
Nome abitanti,monterubbianesi
Patrono,san Nicola da Tolentino
Giorno festivo,10 settembre
Cartografia,Cartografia
Monterubbiano,Monterubbiano
Monterubbiano – MappaPosizione del comune di Monterubbiano nella provincia di Fermo,Monterubbiano – MappaPosizione del comune di Monterubbiano nella provincia di Fermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
