Monteleone di Fermo comune,Monteleone di Fermo comune.1
,
Monteleone di Fermo – Veduta,Monteleone di Fermo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Fermo
Amministrazione,Amministrazione
Sindaco,Marco Fabiani (lista civica) dal 1-6-2015 (2º mandato dal 21-9-2020)
Territorio,Territorio
Coordinate,43°02′50.71″N 13°31′43.32″E
Altitudine,427 m s.l.m.
Superficie,"8,21 km²"
Abitanti,348[1] (30-11-2025)
Densità,"42,39 ab./km²"
Comuni confinanti,"Belmonte Piceno, Monsampietro Morico, Montelparo, Santa Vittoria in Matenano, Servigliano"
Altre informazioni,Altre informazioni
Cod. postale,63841
Prefisso,0734
Fuso orario,UTC+1
Codice ISTAT,109019
Cod. catastale,F536
Targa,FM
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 139 GG[3]"
Nome abitanti,monteleonesi
Patrono,san Marone
Giorno festivo,18 agosto
Cartografia,Cartografia
Monteleone di Fermo,Monteleone di Fermo
Monteleone di Fermo – MappaPosizione del comune di Monteleone di Fermo nella provincia di Fermo,Monteleone di Fermo – MappaPosizione del comune di Monteleone di Fermo nella provincia di Fermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
