Servigliano comune,Servigliano comune.1
,
Servigliano – VedutaPerimetro esterno del centro storico,Servigliano – VedutaPerimetro esterno del centro storico
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Fermo
Amministrazione,Amministrazione
Sindaco,Marco Rotoni (lista civica) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°04′51.13″N 13°29′31.3″E
Altitudine,215 m s.l.m.
Superficie,"18,49 km²"
Abitanti,2 196[1] (30-11-2025)
Densità,"118,77 ab./km²"
Frazioni,"Curetta, Colle Clementino, Fontemaggio, Madonnetta, San Filippo, Commenda, Santa Lucia, San Pietro"
Comuni confinanti,"Belmonte Piceno, Falerone, Monte San Martino (MC), Monteleone di Fermo, Penna San Giovanni (MC), Santa Vittoria in Matenano"
Altre informazioni,Altre informazioni
Cod. postale,63839
Prefisso,0734
Fuso orario,UTC+1
Codice ISTAT,109038
Cod. catastale,C070
Targa,FM
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 123 GG[3]"
Nome abitanti,serviglianesi
Patrono,san Marco Evangelista
Giorno festivo,25 aprile
Cartografia,Cartografia
Servigliano,Servigliano
Servigliano – MappaPosizione del comune di Servigliano nella provincia di Fermo,Servigliano – MappaPosizione del comune di Servigliano nella provincia di Fermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
