Montegiorgio comune,Montegiorgio comune.1
,
Montegiorgio – Veduta,Montegiorgio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Fermo
Amministrazione,Amministrazione
Sindaco,Michele Ortenzi (lista civica) dal 10-6-2018 (2º mandato dal 16-5-2023)
Territorio,Territorio
Coordinate,43°07′50.52″N 13°32′13.49″E
Altitudine,411 m s.l.m.
Superficie,"47,45[1] km²"
Abitanti,6 234[2] (30-11-2025)
Densità,"131,38 ab./km²"
Frazioni,"Alteta, Cerreto, Monteverde, Piane"
Comuni confinanti,"Belmonte Piceno, Falerone, Fermo, Francavilla d'Ete, Grottazzolina, Magliano di Tenna, Massa Fermana, Montappone, Monte San Pietrangeli, Monte Vidon Corrado, Rapagnano"
Altre informazioni,Altre informazioni
Cod. postale,63833
Prefisso,0734
Fuso orario,UTC+1
Codice ISTAT,109017
Cod. catastale,F520
Targa,FM
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 120 GG[4]"
Nome abitanti,montegiorgesi
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Montegiorgio,Montegiorgio
Montegiorgio – MappaPosizione del comune di Montegiorgio nella provincia di Fermo,Montegiorgio – MappaPosizione del comune di Montegiorgio nella provincia di Fermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
