Rapagnano comune,Rapagnano comune.1
,
Rapagnano – Veduta,Rapagnano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Fermo
Amministrazione,Amministrazione
Sindaco,Elisabetta Ceroni (Lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,43°09′40″N 13°35′34.48″E
Altitudine,316 m s.l.m.
Superficie,"12,65 km²"
Abitanti,1 912[1] (30-11-2025)
Densità,"151,15 ab./km²"
Frazioni,Piane di Rapagnano
Comuni confinanti,"Fermo, Grottazzolina, Magliano di Tenna, Monte San Pietrangeli, Montegiorgio, Torre San Patrizio"
Altre informazioni,Altre informazioni
Cod. postale,63831
Prefisso,0734
Fuso orario,UTC+1
Codice ISTAT,109035
Cod. catastale,H182
Targa,FM
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 2 007 GG[3]"
Nome abitanti,rapagnanesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Rapagnano,Rapagnano
Rapagnano – MappaPosizione del comune di Rapagnano nella provincia di Fermo,Rapagnano – MappaPosizione del comune di Rapagnano nella provincia di Fermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
