Ortezzano comune,Ortezzano comune.1
,
Ortezzano – Veduta,Ortezzano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Fermo
Amministrazione,Amministrazione
Sindaco,Carla Piermarini (lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,43°01′53.36″N 13°36′27.25″E
Altitudine,301 m s.l.m.
Superficie,"7,08 km²"
Abitanti,732[1] (30-11-2025)
Densità,"103,39 ab./km²"
Comuni confinanti,"Carassai (AP), Montalto delle Marche (AP), Monte Rinaldo, Monte Vidon Combatte, Montottone"
Altre informazioni,Altre informazioni
Cod. postale,63851
Prefisso,0734
Fuso orario,UTC+1
Codice ISTAT,109029
Cod. catastale,G137
Targa,FM
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 2 016 GG[3]"
Nome abitanti,ortezzanesi
Patrono,san Girolamo
Giorno festivo,30 settembre
Cartografia,Cartografia
Ortezzano,Ortezzano
Ortezzano – MappaPosizione del comune di Ortezzano nella provincia di Fermo,Ortezzano – MappaPosizione del comune di Ortezzano nella provincia di Fermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
