Massa Fermana comune,Massa Fermana comune.1
,
Massa Fermana – VedutaPorta Sant'Antonio,Massa Fermana – VedutaPorta Sant'Antonio
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Fermo
Amministrazione,Amministrazione
Sindaco,Gilberto Caraceni (lista civica) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°09′01.12″N 13°28′32.12″E
Altitudine,340 m s.l.m.
Superficie,"7,73 km²"
Abitanti,819[1] (30-11-2025)
Densità,"105,95 ab./km²"
Comuni confinanti,"Fermo, Loro Piceno (MC), Mogliano (MC), Montappone, Montegiorgio"
Altre informazioni,Altre informazioni
Cod. postale,63834
Prefisso,0734
Fuso orario,UTC+1
Codice ISTAT,109011
Cod. catastale,F021
Targa,FM
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 2 037 GG[3]"
Nome abitanti,massetani
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Massa Fermana,Massa Fermana
Massa Fermana – MappaPosizione del comune di Massa Fermana nella provincia di Fermo,Massa Fermana – MappaPosizione del comune di Massa Fermana nella provincia di Fermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
