Belmonte Piceno comune,Belmonte Piceno comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Fermo
Amministrazione,Amministrazione
Sindaco,"Ivano Bascioni (lista civica ""Presente e futuro per Belmonte Piceno"") dal 26-5-2014 (3º mandato dal 10-6-2024)"
Territorio,Territorio
Coordinate,43°05′29.4″N 13°32′19.97″E
Altitudine,312 m s.l.m.
Superficie,"10,53 km²"
Abitanti,543[1] (30-11-2025)
Densità,"51,57 ab./km²"
Frazioni,"Castellarso Ete, Castellarso Tenna, Colle Ete, Colle Tenna"
Comuni confinanti,"Falerone, Fermo, Grottazzolina, Monsampietro Morico, Montegiorgio, Monteleone di Fermo, Montottone, Servigliano"
Altre informazioni,Altre informazioni
Cod. postale,63838
Prefisso,0734
Fuso orario,UTC+1
Codice ISTAT,109003
Cod. catastale,A760
Targa,FM
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 2 091 GG[3]"
Nome abitanti,belmontesi
Patrono,Esaltazione della Santa Croce
Giorno festivo,3 maggio
Cartografia,Cartografia
Belmonte Piceno,Belmonte Piceno
Belmonte Piceno – MappaPosizione del comune di Belmonte Piceno nella provincia di Fermo,Belmonte Piceno – MappaPosizione del comune di Belmonte Piceno nella provincia di Fermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
