Torre San Patrizio comune,Torre San Patrizio comune.1
,
Torre San Patrizio – VedutaMura di Torre San Patrizio,Torre San Patrizio – VedutaMura di Torre San Patrizio
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Fermo
Amministrazione,Amministrazione
Sindaco,Luca Leoni (lista civica) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°11′02.29″N 13°36′39.6″E
Altitudine,224 m s.l.m.
Superficie,"11,93 km²"
Abitanti,1 810[1] (30-11-2025)
Densità,"151,72 ab./km²"
Frazioni,"Santa Maria d'Ete, San Venanzo"
Comuni confinanti,"Fermo, Monte San Pietrangeli, Monte Urano, Montegranaro, Rapagnano"
Altre informazioni,Altre informazioni
Cod. postale,63814
Prefisso,0734
Fuso orario,UTC+1
Codice ISTAT,109040
Cod. catastale,L279
Targa,FM
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 988 GG[3]"
Nome abitanti,torresi
Patrono,San Patrizio
Giorno festivo,17 marzo
Cartografia,Cartografia
Torre San Patrizio,Torre San Patrizio
Torre San Patrizio – MappaPosizione del comune di Torre San Patrizio nella provincia di Fermo,Torre San Patrizio – MappaPosizione del comune di Torre San Patrizio nella provincia di Fermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
