Francavilla d'Ete comune,Francavilla d'Ete comune.1
,
Francavilla d'Ete – Veduta,Francavilla d'Ete – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Fermo
Amministrazione,Amministrazione
Sindaco,"Nicolino Carolini (lista civica ""Il sole"") dall'8-6-2009 (4º mandato dal 10-6-2024)"
Territorio,Territorio
Coordinate,43°11′27.55″N 13°32′25.49″E
Altitudine,231 m s.l.m.
Superficie,"10,2 km²"
Abitanti,917[1] (30-11-2025)
Densità,"89,9 ab./km²"
Comuni confinanti,"Corridonia (MC), Fermo, Mogliano (MC), Monte San Pietrangeli, Montegiorgio"
Altre informazioni,Altre informazioni
Cod. postale,63816
Prefisso,0734
Fuso orario,UTC+1
Codice ISTAT,109007
Cod. catastale,D760
Targa,FM
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 910 GG[3]"
Nome abitanti,francavillesi
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Francavilla d'Ete,Francavilla d'Ete
Francavilla d'Ete – MappaPosizione del comune di Francavilla d'Ete nella provincia di Fermo,Francavilla d'Ete – MappaPosizione del comune di Francavilla d'Ete nella provincia di Fermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
