Montegranaro comune,Montegranaro comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Fermo
Amministrazione,Amministrazione
Sindaco,Endrio Ubaldi (lista civica Montegranaro sempre) dal 5-10-2021
Territorio,Territorio
Coordinate,43°13′59.59″N 13°37′55.92″E
Altitudine,279 m s.l.m.
Superficie,"31,42 km²"
Abitanti,12 479[1] (30-11-2025)
Densità,"397,17 ab./km²"
Frazioni,"Guazzetti, Santa Leandra, Santa Maria, San Tommaso, Vallone, Villa Luciani, il Torrione, San Liborio."
Comuni confinanti,"Monte San Giusto (MC), Monte San Pietrangeli, Monte Urano, Montecosaro (MC), Morrovalle (MC), Sant'Elpidio a Mare, Torre San Patrizio"
Altre informazioni,Altre informazioni
Cod. postale,63812[2]
Prefisso,0734
Fuso orario,UTC+1
Codice ISTAT,109018[3]
Cod. catastale,F522
Targa,FM
Cl. sismica,zona 2 (sismicità media)[4]
Cl. climatica,"zona D, 1 908 GG[5]"
Nome abitanti,montegranaresi
Patrono,san Serafino
Giorno festivo,12 ottobre
Cartografia,Cartografia
Montegranaro,Montegranaro
Montegranaro – MappaPosizione del comune di Montegranaro nella provincia di Fermo,Montegranaro – MappaPosizione del comune di Montegranaro nella provincia di Fermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
