Pedaso comune,Pedaso comune.1
,
Pedaso – VedutaLa parrocchiale di Santa Maria e San Pietro Apostolo.,Pedaso – VedutaLa parrocchiale di Santa Maria e San Pietro Apostolo.
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Fermo
Amministrazione,Amministrazione
Sindaco,Vincenzo Berdini (lista civica) dal 12-6-2017 (2º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,43°05′50.53″N 13°50′27.35″E
Altitudine,4 m s.l.m.
Superficie,"3,85 km²"
Abitanti,2 823[1] (30-11-2025)
Densità,"733,25 ab./km²"
Comuni confinanti,"Altidona, Campofilone"
Altre informazioni,Altre informazioni
Cod. postale,63827
Prefisso,0734
Fuso orario,UTC+1
Codice ISTAT,109030
Cod. catastale,G403
Targa,FM
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 645 GG[3]"
Nome abitanti,pedasini
Patrono,san Pietro
Giorno festivo,29 giugno
Cartografia,Cartografia
Pedaso,Pedaso
Pedaso – MappaPosizione del comune di Pedaso nella provincia di Fermo,Pedaso – MappaPosizione del comune di Pedaso nella provincia di Fermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
