Moresco comune,Moresco comune.1
,
Moresco – Veduta,Moresco – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Fermo
Amministrazione,Amministrazione
Sindaco,Massimiliano Splendiani (lista civica) dal 10-06-2024
Territorio,Territorio
Coordinate,43°05′08.95″N 13°43′55.39″E
Altitudine,405 m s.l.m.
Superficie,"6,35 km²"
Abitanti,509[1] (30-11-2025)
Densità,"80,16 ab./km²"
Comuni confinanti,"Lapedona, Montefiore dell'Aso (AP), Monterubbiano"
Altre informazioni,Altre informazioni
Cod. postale,63826
Prefisso,0734
Fuso orario,UTC+1
Codice ISTAT,109028
Cod. catastale,F722
Targa,FM
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 113 GG[3]"
Nome abitanti,moreschini
Patrono,san Lorenzo martire
Giorno festivo,10 agosto
Cartografia,Cartografia
Moresco,Moresco
Moresco – MappaPosizione del comune di Moresco nella provincia di Fermo,Moresco – MappaPosizione del comune di Moresco nella provincia di Fermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
