Craco comune,Craco comune.1
,
"Craco – VedutaPanoramica del vecchio centro di Craco, abbandonato nel corso del XX secolo","Craco – VedutaPanoramica del vecchio centro di Craco, abbandonato nel corso del XX secolo"
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Matera
Amministrazione,Amministrazione
Sindaco,Vincenzo Lacopeta (lista civica Craco per noi) dal 21-9-2020
Territorio,Territorio
Coordinate,40°22′43″N 16°26′24″E
Altitudine,centro storico: 391 m s.l.m. sede comunale: 85 m s.l.m.
Superficie,"77,04 km²"
Abitanti,572[1] (30-11-2025)
Densità,"7,42 ab./km²"
Frazioni,"Craco Peschiera (sede comunale), Craco-Sant'Angelo."
Comuni confinanti,"Ferrandina, Montalbano Jonico, Pisticci, San Mauro Forte, Stigliano"
Altre informazioni,Altre informazioni
Cod. postale,75010
Prefisso,0835
Fuso orario,UTC+1
Codice ISTAT,077007
Cod. catastale,D128
Targa,MT
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 655 GG[3]"
Nome abitanti,crachesi
Patrono,san Nicola
Giorno festivo,secondo sabato di ottobre
Cartografia,Cartografia
Craco,Craco
Craco – MappaPosizione del comune di Craco nella provincia di Matera,Craco – MappaPosizione del comune di Craco nella provincia di Matera
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
