Calciano comune,Calciano comune.1
,
Calciano – Veduta,Calciano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Matera
Amministrazione,Amministrazione
Sindaco,Giuseppe Arturo De Filippo (lista civica) dal 25-5-2014 (3º mandato dal 9-6-2024)
Data di istituzione,13-7-1913
Territorio,Territorio
Coordinate,40°35′N 16°12′E
Altitudine,425 m s.l.m.
Superficie,"49,69 km²"
Abitanti,615[1] (30-11-2025)
Densità,"12,38 ab./km²"
Frazioni,Parata
Comuni confinanti,"Accettura, Albano di Lucania (PZ), Campomaggiore (PZ), Garaguso, Grassano, Oliveto Lucano, Tricarico"
Altre informazioni,Altre informazioni
Cod. postale,75010
Prefisso,0835
Fuso orario,UTC+1
Codice ISTAT,077004
Cod. catastale,B391
Targa,MT
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 705 GG[3]"
Nome abitanti,calcianesi
Patrono,Maria SS. della Serra
Giorno festivo,8 settembre
Cartografia,Cartografia
Calciano,Calciano
Calciano – MappaPosizione del comune di Calciano nella provincia di Matera,Calciano – MappaPosizione del comune di Calciano nella provincia di Matera
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
