Stigliano comune,Stigliano comune.1
,
Stigliano – Veduta,Stigliano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Matera
Amministrazione,Amministrazione
Sindaco,Francesco Micucci (lista civica Cambiamente) dall'11-6-2017 (2º mandato dal 12-6-2022)
Territorio,Territorio
Coordinate,40°24′N 16°14′E
Altitudine,909 m s.l.m.
Superficie,"211,15 km²"
Abitanti,3 368[1] (30-11-2025)
Densità,"15,95 ab./km²"
Frazioni,"Calvera, Caputo, Carpinello, Gannano, Santo Spirito, Serra di Croce[2]"
Comuni confinanti,"Accettura, Aliano, Cirigliano, Craco, Gorgoglione, Montalbano Jonico, San Mauro Forte, Sant'Arcangelo (PZ), Tursi[3]"
Altre informazioni,Altre informazioni
Cod. postale,75018
Prefisso,0835
Fuso orario,UTC+1
Codice ISTAT,077027
Cod. catastale,I954
Targa,MT
Cl. sismica,zona 2 (sismicità media)[4]
Cl. climatica,"zona E, 2 472 GG[5]"
Nome abitanti,stiglianesi
Patrono,sant'Antonio di Padova
Giorno festivo,13 giugno
Cartografia,Cartografia
Stigliano,Stigliano
Stigliano – MappaPosizione del comune di Stigliano nella provincia di Matera,Stigliano – MappaPosizione del comune di Stigliano nella provincia di Matera
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
