Montescaglioso comune,Montescaglioso comune.1
,
"Montescaglioso – VedutaMontescaglioso, veduta centro storico","Montescaglioso – VedutaMontescaglioso, veduta centro storico"
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Matera
Amministrazione,Amministrazione
Sindaco,Vincenzo Zito[1] (centro-destra) dal 5-6-2016 (2º mandato dal 3-10-2021)
Territorio,Territorio
Coordinate,40°33′N 16°40′E
Altitudine,313 m s.l.m.
Superficie,"175,80[2] km²"
Abitanti,9 223[3] (30-11-2025)
Densità,"52,46 ab./km²"
Frazioni,"Pianelle[4][5], Vetrano[5][6]"
Comuni confinanti,"Bernalda, Ginosa (TA), Matera, Miglionico, Pisticci, Pomarico[7]"
Altre informazioni,Altre informazioni
Cod. postale,75024
Prefisso,0835
Fuso orario,UTC+1
Codice ISTAT,077017
Cod. catastale,F637
Targa,MT
Cl. sismica,zona 3 (sismicità bassa)[8]
Cl. climatica,"zona D, 1 597 GG[9]"
Nome abitanti,montesi[7][10][11]
Patrono,san Rocco[7][10][11][12]
Giorno festivo,20 agosto
Soprannome,"La città dei monasteri, La città dell’olio, La città del carnevale, La città dell’abbazia[13]"
Cartografia,Cartografia
Montescaglioso,Montescaglioso
Montescaglioso – MappaPosizione del comune di Montescaglioso nella provincia di Matera,Montescaglioso – MappaPosizione del comune di Montescaglioso nella provincia di Matera
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
