Matera comune,Matera comune.1
,
Matera – VedutaPanorama dei sassi da Via Santa Cesarea,Matera – VedutaPanorama dei sassi da Via Santa Cesarea
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Matera
Amministrazione,Amministrazione
Sindaco,Antonio Nicoletti (Indipendente di centro-destra) dal 10-6-2025
Territorio,Territorio
Coordinate,40°40′N 16°36′E
Altitudine,401 m s.l.m.
Superficie,"392,09 km²"
Abitanti,59 394[1] (30-11-2025)
Densità,"151,48 ab./km²"
Frazioni,"La Martella, Picciano A, Picciano B, Venusio, Villaggio Timmari"
Comuni confinanti,"Altamura (BA), Ginosa (TA), Gravina in Puglia (BA), Grottole, Laterza (TA), Miglionico, Montescaglioso, Santeramo in Colle (BA)"
Altre informazioni,Altre informazioni
Cod. postale,75100
Prefisso,0835
Fuso orario,UTC+1
Codice ISTAT,077014
Cod. catastale,F052
Targa,MT
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 776 GG[3]"
Nome abitanti,materani
Patrono,"Madonna della Bruna, sant'Eustachio"
Giorno festivo,"2 luglio, 20 settembre"
Soprannome,Città dei Sassi
Motto,Bos Lassus Firmius Figit Pedem
Cartografia,Cartografia
Matera,Matera
Matera – MappaPosizione del comune di Matera nella provincia omonima,Matera – MappaPosizione del comune di Matera nella provincia omonima
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
