Tricarico comune,Tricarico comune.1
,
Tricarico – Veduta,Tricarico – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Matera
Amministrazione,Amministrazione
Sindaco,Paolo Paradiso (centro-sinistra) dal 15-5-2023
Territorio,Territorio
Coordinate,40°37′N 16°09′E
Altitudine,698 m s.l.m.
Superficie,"178,16 km²"
Abitanti,4 624[1] (30-11-2025)
Densità,"25,95 ab./km²"
Frazioni,"Calle, Fonti, La Precesa, Serra del Ponte, Siggiano, Tre Cancelli"
Comuni confinanti,"Albano di Lucania (PZ), Brindisi Montagna (PZ), Calciano, Campomaggiore (PZ), Grassano, Grottole, Irsina, San Chirico Nuovo (PZ), Tolve (PZ), Vaglio Basilicata (PZ)"
Altre informazioni,Altre informazioni
Cod. postale,75019
Prefisso,0835
Fuso orario,UTC+1
Codice ISTAT,077028
Cod. catastale,L418
Targa,MT
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 2 056 GG[3]"
Nome abitanti,tricaricési
Patrono,san Potito
Giorno festivo,14 gennaio/17 luglio
Cartografia,Cartografia
Tricarico,Tricarico
Tricarico – MappaPosizione del comune di Tricarico nella provincia di Matera,Tricarico – MappaPosizione del comune di Tricarico nella provincia di Matera
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
