Pomarico comune,Pomarico comune.1
,
Pomarico – Veduta,Pomarico – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Matera
Amministrazione,Amministrazione
Sindaco,Francesco Mancini (PD) dal 27-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,40°31′N 16°33′E
Altitudine,458 m s.l.m.
Superficie,"129,67 km²"
Abitanti,3 663[1] (30-11-2025)
Densità,"28,25 ab./km²"
Comuni confinanti,"Ferrandina, Miglionico, Montescaglioso, Pisticci"
Altre informazioni,Altre informazioni
Cod. postale,75016
Prefisso,0835
Fuso orario,UTC+1
Codice ISTAT,077022
Cod. catastale,G806
Targa,MT
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 753 GG[3]"
Nome abitanti,pomaricani
Patrono,san Michele Arcangelo
Giorno festivo,8 maggio
Cartografia,Cartografia
Pomarico,Pomarico
Pomarico – MappaPosizione del comune di Pomarico nella provincia di Matera,Pomarico – MappaPosizione del comune di Pomarico nella provincia di Matera
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
