Aliano comune,Aliano comune.1
,
Aliano – VedutaVeduta,Aliano – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Matera
Amministrazione,Amministrazione
Sindaco,Luigi De Lorenzo (lista civica Aliano Oltre) dal 6-6-2016 (2º mandato dal 5-10-2021)
Territorio,Territorio
Coordinate,40°19′N 16°14′E
Altitudine,555 m s.l.m.
Superficie,"98,41 km²"
Abitanti,806[1] (30-11-2025)
Densità,"8,19 ab./km²"
Frazioni,Alianello
Comuni confinanti,"Gorgoglione, Missanello (PZ), Roccanova (PZ), Sant'Arcangelo (PZ), Stigliano"
Altre informazioni,Altre informazioni
Cod. postale,75010
Prefisso,0835
Fuso orario,UTC+1
Codice ISTAT,077002
Cod. catastale,A196
Targa,MT
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 812 GG[3]"
Nome abitanti,alianesi
Patrono,san Luigi Gonzaga
Giorno festivo,21 giugno
Cartografia,Cartografia
Aliano,Aliano
Aliano – MappaPosizione del comune di Aliano nella provincia di Matera,Aliano – MappaPosizione del comune di Aliano nella provincia di Matera
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
