Montalbano Jonico comune,Montalbano Jonico comune.1
,
Montalbano Jonico – VedutaMontalbano Jonico,Montalbano Jonico – VedutaMontalbano Jonico
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Matera
Amministrazione,Amministrazione
Sindaco,Giuseppe Antonio Di Sanzo (Sindaco - lista civica di centro-sinistra) dal 26-5-2025
Territorio,Territorio
Coordinate,40°17′N 16°34′E
Altitudine,288 m s.l.m.
Superficie,136 km²
Abitanti,6 470[1] (30-11-2025)
Densità,"47,57 ab./km²"
Comuni confinanti,"Craco, Pisticci, Scanzano Jonico, Stigliano, Tursi"
Altre informazioni,Altre informazioni
Cod. postale,75023
Prefisso,0835
Fuso orario,UTC+1
Codice ISTAT,077016
Cod. catastale,F399
Targa,MT
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 392 GG[3]"
Nome abitanti,montalbanesi
Patrono,san Maurizio
Giorno festivo,22 settembre
Cartografia,Cartografia
Montalbano Jonico,Montalbano Jonico
Montalbano Jonico – MappaPosizione del comune di Montalbano Jonico nella provincia di Matera,Montalbano Jonico – MappaPosizione del comune di Montalbano Jonico nella provincia di Matera
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
