Rotondella comune,Rotondella comune.1
,
Rotondella – Veduta,Rotondella – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Matera
Amministrazione,Amministrazione
Sindaco,Gianluca Palazzo (Fare comunità) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,40°10′N 16°31′E
Altitudine,576 m s.l.m.
Superficie,"76,72 km²"
Abitanti,2 319[1] (30-11-2025)
Densità,"30,23 ab./km²"
Frazioni,"Mortella, Rotondella Due, Trisaia"
Comuni confinanti,"Colobraro, Nova Siri, Policoro, Tursi, Valsinni"
Altre informazioni,Altre informazioni
Cod. postale,75026
Prefisso,0835
Fuso orario,UTC+1
Codice ISTAT,077023
Cod. catastale,H591
Targa,MT
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 925 GG[3]"
Nome abitanti,rotondellesi
Patrono,sant'Antonio di Padova
Giorno festivo,13 giugno
Soprannome,il balcone dello Jonio
Cartografia,Cartografia
Rotondella,Rotondella
Rotondella – MappaPosizione del comune di Rotondella nella provincia di Matera,Rotondella – MappaPosizione del comune di Rotondella nella provincia di Matera
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
