Provincia di Matera provincia,Provincia di Matera provincia.1
,
"Provincia di Matera – VedutaPanorama serale dei Sassi di Matera, 2010","Provincia di Matera – VedutaPanorama serale dei Sassi di Matera, 2010"
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Amministrazione,Amministrazione
Capoluogo,Matera
Presidente,Francesco Mancini (PD) dal 30-9-2024
Data di istituzione,2 gennaio 1927
Territorio,Territorio
Coordinate del capoluogo,40°40′N 16°36′E
Superficie,"3 478,89 km²"
Abitanti,187 899[1] (30-11-2025)
Densità,"54,01 ab./km²"
Comuni,31 comuni
Province confinanti,"Bari (Puglia), Cosenza (Calabria), Potenza, Taranto (Puglia)"
Altre informazioni,Altre informazioni
Cod. postale,75100 (Matera) 75010 - 75029 (altri comuni)
Prefisso,0835
Fuso orario,UTC+1
ISO 3166-2,IT-MT
Codice ISTAT,077
Targa,MT
PIL,"(nominale) 4 087,48 mln €[2](2021)"
PIL procapite,(nominale) 21 338 €[2](2021)
Cartografia,Cartografia
Provincia di Matera – Localizzazione,Provincia di Matera – Localizzazione
Provincia di Matera – MappaTerritorio provinciale,Provincia di Matera – MappaTerritorio provinciale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
