San Giorgio Lucano comune,San Giorgio Lucano comune.1
,
San Giorgio Lucano – VedutaLa fontana vecchia,San Giorgio Lucano – VedutaLa fontana vecchia
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Matera
Amministrazione,Amministrazione
Sindaco,Giuseppe Antonio Domenico Esposito (lista civica Comunità unita) dal 22-9-2020
Territorio,Territorio
Coordinate,40°07′N 16°23′E
Altitudine,416 m s.l.m.
Superficie,"39,26 km²"
Abitanti,991[1] (30-11-2025)
Densità,"25,24 ab./km²"
Comuni confinanti,"Cersosimo (PZ), Nocara (CS), Noepoli (PZ), Oriolo (CS), Senise (PZ), Valsinni"
Altre informazioni,Altre informazioni
Cod. postale,75027
Prefisso,0835
Fuso orario,UTC+1
Codice ISTAT,077025
Cod. catastale,H888
Targa,MT
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 691 GG[3]"
Nome abitanti,sangiorgesi
Patrono,san Rocco
Giorno festivo,16-17-18 Agosto
Cartografia,Cartografia
San Giorgio Lucano,San Giorgio Lucano
San Giorgio Lucano – MappaPosizione del comune di San Giorgio Lucano nella provincia di Matera,San Giorgio Lucano – MappaPosizione del comune di San Giorgio Lucano nella provincia di Matera
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
