Accettura comune,Accettura comune.1
,
Accettura – VedutaVeduta,Accettura – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Matera
Amministrazione,Amministrazione
Sindaco,Alfonso Vespe (lista civica Per Accettura) dal 1-6-2015 (2º mandato dal 20-9-2020)
Territorio,Territorio
Coordinate,40°29′33″N 16°09′27″E
Altitudine,770 m s.l.m.
Superficie,"90,37 km²"
Abitanti,1 576[1] (30-11-2025)
Densità,"17,44 ab./km²"
Frazioni,"Valmiletta, Vaudienna, Serra del Garbo, Caruso, Trignola"
Comuni confinanti,"Calciano, Campomaggiore (PZ), Cirigliano, Oliveto Lucano, Pietrapertosa (PZ), San Mauro Forte, Stigliano"
Altre informazioni,Altre informazioni
Cod. postale,75011
Prefisso,0835
Fuso orario,UTC+1
Codice ISTAT,077001
Cod. catastale,A017
Targa,MT
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 212 GG[3]"
Nome abitanti,accetturesi
Patrono,san Giuliano
Giorno festivo,27 gennaio
Cartografia,Cartografia
Accettura,Accettura
Accettura – MappaPosizione del comune di Accettura nella provincia di Matera,Accettura – MappaPosizione del comune di Accettura nella provincia di Matera
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
