Oliveto Lucano comune,Oliveto Lucano comune.1
,
Oliveto Lucano – VedutaOliveto Lucano,Oliveto Lucano – VedutaOliveto Lucano
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Matera
Amministrazione,Amministrazione
Sindaco,Nicola Terranova (lista civica Noi ci siamo) dal 5-10-2021
Territorio,Territorio
Coordinate,40°32′N 16°11′E
Altitudine,546 m s.l.m.
Superficie,"31,19 km²"
Abitanti,332[1] (30-11-2025)
Densità,"10,64 ab./km²"
Comuni confinanti,"Accettura, Calciano, Garaguso, San Mauro Forte"
Altre informazioni,Altre informazioni
Cod. postale,75010
Prefisso,0835
Fuso orario,UTC+1
Codice ISTAT,077019
Cod. catastale,G037
Targa,MT
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 882 GG[3]"
Nome abitanti,olivetesi
Patrono,san Cipriano
Giorno festivo,10-11-12 agosto
Cartografia,Cartografia
Oliveto Lucano,Oliveto Lucano
Oliveto Lucano – MappaPosizione del comune di Oliveto Lucano nella provincia di Matera,Oliveto Lucano – MappaPosizione del comune di Oliveto Lucano nella provincia di Matera
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
