Scanzano Jonico comune,Scanzano Jonico comune.1
,
Scanzano Jonico – VedutaPiazza Antonio Gramsci,Scanzano Jonico – VedutaPiazza Antonio Gramsci
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Matera
Amministrazione,Amministrazione
Sindaco,Pasquale Cariello (lista civica) dal 09-06-2023
Data di istituzione,2-8-1974
Territorio,Territorio
Coordinate,40°15′N 16°42′E
Altitudine,21 m s.l.m.
Superficie,"72,18 km²"
Abitanti,7 478[1] (30-11-2025)
Densità,"103,6 ab./km²"
Frazioni,Recoleta
Comuni confinanti,"Montalbano Jonico, Pisticci, Policoro, Tursi"
Altre informazioni,Altre informazioni
Cod. postale,75020
Prefisso,0835
Fuso orario,UTC+1
Codice ISTAT,077031
Cod. catastale,M256
Targa,MT
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 131 GG[3]"
Nome abitanti,scanzanesi
Patrono,Maria SS. Annunziata
Giorno festivo,25 marzo
Cartografia,Cartografia
Scanzano Jonico,Scanzano Jonico
Scanzano Jonico – MappaPosizione del comune di Scanzano Jonico nella provincia di Matera,Scanzano Jonico – MappaPosizione del comune di Scanzano Jonico nella provincia di Matera
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
