Nova Siri comune,Nova Siri comune.1
,
Nova Siri – Veduta,Nova Siri – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Matera
Amministrazione,Amministrazione
Sindaco,Antonello Mele (lista civica di centro-destra Nova Siri Futura) dal 10-6-2024
Data di istituzione,21-3-1872
Territorio,Territorio
Coordinate,40°09′N 16°32′E
Altitudine,355 m s.l.m.
Superficie,"52,75 km²"
Abitanti,6 850[1] (30-11-2025)
Densità,"129,86 ab./km²"
Frazioni,"Cardinale, Centomola, Cerrolongo, Chiarantana, Cugno dei Vanni, Foresta, Funno del Pastore, Laccata, Lucido, Monticello, Ospedale, Piana delle Vigne, Pantanello, Sant'Alessio, San Basile, San Megale, Santa Maria, Taverna"
Comuni confinanti,"Canna (CS), Rotondella, Valsinni, Nocara (CS), Rocca Imperiale (CS)"
Altre informazioni,Altre informazioni
Cod. postale,75020
Prefisso,0835
Fuso orario,UTC+1
Codice ISTAT,077018
Cod. catastale,A942
Targa,MT
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 542 GG[3]"
Nome abitanti,novasiresi
Patrono,san Giuseppe[4]
Giorno festivo,19 marzo[4]
Cartografia,Cartografia
Nova Siri,Nova Siri
Nova Siri – MappaPosizione del comune di Nova Siri nella provincia di Matera,Nova Siri – MappaPosizione del comune di Nova Siri nella provincia di Matera
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
