Colobraro comune,Colobraro comune.1
,
Colobraro – Veduta,Colobraro – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Matera
Amministrazione,Amministrazione
Sindaco,Nicola Lista (lista civica Sinergia per Colobraro) dal 13-6-2022
Data di istituzione,17 marzo 1861
Territorio,Territorio
Coordinate,40°11′N 16°26′E
Altitudine,630 m s.l.m.
Superficie,"66,61 km²"
Abitanti,1 018[1] (30-11-2025)
Densità,"15,28 ab./km²"
Comuni confinanti,"Noepoli (PZ), Rotondella, Sant'Arcangelo (PZ), Senise (PZ), Tursi, Valsinni"
Altre informazioni,Altre informazioni
Cod. postale,75021
Prefisso,0835
Fuso orario,UTC+1
Codice ISTAT,077006
Cod. catastale,C888
Targa,MT
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 2 006 GG[3]"
Nome abitanti,colobraresi
Patrono,san Nicola
Giorno festivo,9 maggio
Cartografia,Cartografia
Colobraro,Colobraro
Colobraro – MappaPosizione del comune di Colobraro nella provincia di Matera,Colobraro – MappaPosizione del comune di Colobraro nella provincia di Matera
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
