Ferrandina comune,Ferrandina comune.1
,
Ferrandina – Veduta,Ferrandina – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Matera
Amministrazione,Amministrazione
Sindaco,Carmine Lisanti (lista civica Ferrandina bene comune) dal 5-10-2021
Territorio,Territorio
Coordinate,40°30′N 16°27′E
Altitudine,497 m s.l.m.
Superficie,"218,11 km²"
Abitanti,7 818[1] (30-11-2025)
Densità,"35,84 ab./km²"
Frazioni,Borgo Macchia
Comuni confinanti,"Craco, Grottole, Miglionico, Pisticci, Pomarico, Salandra, San Mauro Forte"
Altre informazioni,Altre informazioni
Cod. postale,75013
Prefisso,0835
Fuso orario,UTC+1
Codice ISTAT,077008
Cod. catastale,D547
Targa,MT
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 788 GG[3]"
Nome abitanti,ferrandinesi
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Ferrandina,Ferrandina
Ferrandina – MappaPosizione del comune di Ferrandina nella provincia di Matera,Ferrandina – MappaPosizione del comune di Ferrandina nella provincia di Matera
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
