Gorgoglione comune,Gorgoglione comune.1
,
Gorgoglione – Veduta,Gorgoglione – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Matera
Amministrazione,Amministrazione
Sindaco,Carmine Nigro (lista civica Costruiamo il nostro futuro) dal 27-5-2019 (2º mandato dal 9-6-2024)
Data di istituzione,17 marzo 1861
Territorio,Territorio
Coordinate,40°24′N 16°09′E
Altitudine,800 m s.l.m.
Superficie,"34,93 km²"
Abitanti,830[1] (30-11-2025)
Densità,"23,76 ab./km²"
Comuni confinanti,"Aliano, Cirigliano, Corleto Perticara (PZ), Guardia Perticara (PZ), Missanello (PZ), Pietrapertosa (PZ), Stigliano"
Altre informazioni,Altre informazioni
Cod. postale,75010
Prefisso,0835
Fuso orario,UTC+1
Codice ISTAT,077010
Cod. catastale,E093
Targa,MT
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 256 GG[3]"
Nome abitanti,gorgoglionesi
Patrono,sant'Antonio di Padova
Giorno festivo,13 giugno
Cartografia,Cartografia
Gorgoglione,Gorgoglione
Gorgoglione – MappaPosizione del comune di Gorgoglione nella provincia di Matera,Gorgoglione – MappaPosizione del comune di Gorgoglione nella provincia di Matera
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
