Irsina comune,Irsina comune.1
,
Irsina – Veduta,Irsina – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Matera
Amministrazione,Amministrazione
Sindaco,Giuseppe Candela (Sindaco - lista civica) dal 26-5-2025
Territorio,Territorio
Coordinate,40°45′N 16°14′E
Altitudine,548 m s.l.m.
Superficie,"263,47 km²"
Abitanti,4 305[1] (30-11-2025)
Densità,"16,34 ab./km²"
Frazioni,"Borgo Taccone, Santa Maria d'Irsi"
Comuni confinanti,"Genzano di Lucania (PZ), Grassano, Gravina in Puglia (BA), Grottole, Oppido Lucano (PZ), Tolve (PZ), Tricarico"
Altre informazioni,Altre informazioni
Cod. postale,75022
Prefisso,0835
Fuso orario,UTC+1
Codice ISTAT,077013
Cod. catastale,E326
Targa,MT
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 885 GG[3]"
Nome abitanti,irsinesi
Patrono,sant'Eufemia di Calcedonia
Giorno festivo,16 settembre
Cartografia,Cartografia
Irsina,Irsina
Irsina – MappaPosizione del comune di Irsina nella provincia di Matera,Irsina – MappaPosizione del comune di Irsina nella provincia di Matera
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
