Valsinni comune,Valsinni comune.1
,
Valsinni – Veduta,Valsinni – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Matera
Amministrazione,Amministrazione
Sindaco,Gaetano Celano (lista civica) dal 27-5-2019 (2º mandato dal 9-6-2024)
Data di istituzione,29-9-1873
Territorio,Territorio
Coordinate,40°10′N 16°27′E
Altitudine,250 m s.l.m.
Superficie,"32,22 km²"
Abitanti,1 286[1] (30-11-2025)
Densità,"39,91 ab./km²"
Comuni confinanti,"Colobraro, Nocara (CS), Noepoli (PZ), Nova Siri, Rotondella, San Giorgio Lucano"
Altre informazioni,Altre informazioni
Cod. postale,75029
Prefisso,0835
Fuso orario,UTC+1
Codice ISTAT,077030
Cod. catastale,D513
Targa,MT
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 462 GG[3]"
Nome abitanti,valsinnesi
Patrono,"san Fabiano, Madonna del Carmine"
Giorno festivo,10 maggio e 21 luglio
Cartografia,Cartografia
Valsinni,Valsinni
Valsinni – MappaPosizione del comune di Valsinni nella provincia di Matera,Valsinni – MappaPosizione del comune di Valsinni nella provincia di Matera
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
