Cirigliano comune,Cirigliano comune.1
,
Cirigliano – Veduta,Cirigliano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Matera
Amministrazione,Amministrazione
Sindaco,Marco Delorenzo (lista civica Uniti per Cirigliano) dal 9-6-2024
Data di istituzione,17 marzo 1861
Territorio,Territorio
Coordinate,40°24′N 16°10′E
Altitudine,656 m s.l.m.
Superficie,"14,9 km²"
Abitanti,280[1] (30-11-2025)
Densità,"18,79 ab./km²"
Comuni confinanti,"Accettura, Gorgoglione, Pietrapertosa (PZ), Stigliano"
Altre informazioni,Altre informazioni
Cod. postale,75010
Prefisso,0835
Fuso orario,UTC+1
Codice ISTAT,077005
Cod. catastale,C723
Targa,MT
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 2 044 GG[3]"
Nome abitanti,ciriglianesi
Patrono,san Giacomo
Giorno festivo,25 luglio
Cartografia,Cartografia
Cirigliano,Cirigliano
Cirigliano – MappaPosizione del comune di Cirigliano nella provincia di Matera,Cirigliano – MappaPosizione del comune di Cirigliano nella provincia di Matera
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
