Bernalda comune,Bernalda comune.1
,
"Bernalda – VedutaBernalda, panorama di Corso Umberto I durante i festeggiamenti del santo patrono","Bernalda – VedutaBernalda, panorama di Corso Umberto I durante i festeggiamenti del santo patrono"
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Matera
Amministrazione,Amministrazione
Sindaco,Francesca Matarazzo (Lista civica Prima Bernalda e Metaponto) dal 27-5-2025
Territorio,Territorio
Coordinate,40°25′N 16°41′E
Altitudine,126 m s.l.m.
Superficie,"126,19 km²"
Abitanti,11 917[1] (30-11-2025)
Densità,"94,44 ab./km²"
Frazioni,"Metaponto, Serramarina, Spineto"
Comuni confinanti,"Ginosa (TA), Montescaglioso, Pisticci"
Altre informazioni,Altre informazioni
Cod. postale,75012
Prefisso,0835
Fuso orario,UTC+1
Codice ISTAT,077003
Cod. catastale,A801
Targa,MT
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 366 GG[3]"
Nome abitanti,bernaldesi
Patrono,san Bernardino da Siena
Giorno festivo,"20 maggio, 23 agosto"
Cartografia,Cartografia
Bernalda,Bernalda
Bernalda – MappaPosizione del comune di Bernalda nella provincia di Matera,Bernalda – MappaPosizione del comune di Bernalda nella provincia di Matera
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
