San Mauro Forte comune,San Mauro Forte comune.1
,
San Mauro Forte – Veduta,San Mauro Forte – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Matera
Amministrazione,Amministrazione
Sindaco,Nicola Giuseppe Savino (lista civica San Mauro Forte è futuro) dal 13-6-2022
Territorio,Territorio
Coordinate,40°29′N 16°15′E
Altitudine,540 m s.l.m.
Superficie,"87,06 km²"
Abitanti,1 170[1] (30-11-2025)
Densità,"13,44 ab./km²"
Comuni confinanti,"Accettura, Craco, Ferrandina, Garaguso, Oliveto Lucano, Salandra, Stigliano"
Altre informazioni,Altre informazioni
Cod. postale,75010
Prefisso,0835
Fuso orario,UTC+1
Codice ISTAT,077026
Cod. catastale,I029
Targa,MT
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 874 GG[3]"
Nome abitanti,sanmauresi
Patrono,san Mauro abate
Giorno festivo,15 gennaio
Cartografia,Cartografia
San Mauro Forte,San Mauro Forte
San Mauro Forte – MappaPosizione del comune di San Mauro Forte nella provincia di Matera,San Mauro Forte – MappaPosizione del comune di San Mauro Forte nella provincia di Matera
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
