Tursi comune,Tursi comune.1
,
Tursi – Veduta,Tursi – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Basilicata
Provincia,Matera
Amministrazione,Amministrazione
Sindaco,Salvatore Cosma (lista civica Per Tursi in prima persona) dal 21-9-2020
Territorio,Territorio
Coordinate,40°15′N 16°28′E
Altitudine,180 m s.l.m.
Superficie,"159,93 km²"
Abitanti,4 673[1] (30-11-2025)
Densità,"29,22 ab./km²"
Frazioni,"Anglona, Caprarico, Panevino[2]"
Comuni confinanti,"Colobraro, Montalbano Jonico, Policoro, Rotondella, Sant'Arcangelo (PZ), Scanzano Jonico, Stigliano[3]"
Altre informazioni,Altre informazioni
Cod. postale,75028
Prefisso,0835
Fuso orario,UTC+1
Codice ISTAT,077029
Cod. catastale,L477
Targa,MT
Cl. sismica,zona 2 (sismicità media)[4]
Cl. climatica,"zona D, 1 452 GG[5]"
Nome abitanti,tursitani
Patrono,"san Filippo Neri, Madonna di Anglona"
Giorno festivo,"26 maggio, 8 settembre"
Cartografia,Cartografia
Tursi,Tursi
Tursi – MappaPosizione del comune di Tursi nella provincia di Matera,Tursi – MappaPosizione del comune di Tursi nella provincia di Matera
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
