Riolunato comune,Riolunato comune.1
,
"Riolunato – VedutaPanorama del territorio di Riolunato, da sinistra a destra si vedono le frazioni di Cabonargi, Groppo e Roncombrellaro.","Riolunato – VedutaPanorama del territorio di Riolunato, da sinistra a destra si vedono le frazioni di Cabonargi, Groppo e Roncombrellaro."
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Modena
Amministrazione,Amministrazione
Sindaco,Lorenzo Checchi (Rio-Vivo) dal 10-06-2024
Territorio,Territorio
Coordinate,44°14′N 10°39′E
Altitudine,716 m s.l.m.
Superficie,"44,91 km²"
Abitanti,652[1] (30-11-2025)
Densità,"14,52 ab./km²"
Frazioni,"Serpiano, Castello, Groppo, Castellino di Brocco, Centocroci, Le Polle, Passo Del Lupo"
Comuni confinanti,"Fiumalbo, Frassinoro, Lama Mocogno, Montecreto, Palagano, Pievepelago, Sestola"
Altre informazioni,Altre informazioni
Cod. postale,41020
Prefisso,0536
Fuso orario,UTC+1
Codice ISTAT,036035
Cod. catastale,H303
Targa,MO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 189 GG[3]"
Nome abitanti,riolunatesi
Patrono,san Giacomo
Giorno festivo,25 luglio
Cartografia,Cartografia
Riolunato,Riolunato
Riolunato – MappaPosizione del comune di Riolunato all'interno della provincia di Modena,Riolunato – MappaPosizione del comune di Riolunato all'interno della provincia di Modena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
