Castelvetro di Modena comune,Castelvetro di Modena comune.1
,
Castelvetro di Modena – VedutaPanorama di Castelvetro di Modena,Castelvetro di Modena – VedutaPanorama di Castelvetro di Modena
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Modena
Amministrazione,Amministrazione
Sindaco,Federico Poppi (centro-sinistra) dal 10-6-2024
Territorio,Territorio
Coordinate,44°30′24″N 10°56′50″E
Altitudine,157 m s.l.m.
Superficie,"49,78 km²"
Abitanti,10 966[1] (30-11-2025)
Densità,"220,29 ab./km²"
Frazioni,"Ca' di Sola, Levizzano Rangone, Settecani, Solignano Nuovo"
Comuni confinanti,"Castelnuovo Rangone, Formigine, Maranello, Marano sul Panaro, Spilamberto, Vignola"
Altre informazioni,Altre informazioni
Cod. postale,41014
Prefisso,059
Fuso orario,UTC+1
Codice ISTAT,036008
Cod. catastale,C287
Targa,MO
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 371 GG[3]"
Nome abitanti,castelvetresi
Patrono,santi Senesio e Teopompo
Giorno festivo,21 maggio
Cartografia,Cartografia
Castelvetro di Modena,Castelvetro di Modena
Castelvetro di Modena – MappaPosizione del comune di Castelvetro di Modena all'interno della provincia di Modena,Castelvetro di Modena – MappaPosizione del comune di Castelvetro di Modena all'interno della provincia di Modena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
