Savignano sul Panaro comune,Savignano sul Panaro comune.1
,
Savignano sul Panaro – VedutaPanorama sul borgo antico,Savignano sul Panaro – VedutaPanorama sul borgo antico
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Modena
Amministrazione,Amministrazione
Sindaco,Enrico Tagliavini (lista civica) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,44°29′N 11°02′E
Altitudine,108 m s.l.m.
Superficie,"25,55 km²"
Abitanti,9 587[1] (30-11-2025)
Densità,"375,23 ab./km²"
Frazioni,"Castello, Doccia, Formica, Garofano, Magazzino, Mulino, La Torre, Bocchirolo, San Giovanni"
Comuni confinanti,"Guiglia, Marano sul Panaro, San Cesario sul Panaro, Spilamberto, Valsamoggia (BO), Vignola"
Altre informazioni,Altre informazioni
Cod. postale,41056
Prefisso,059
Fuso orario,UTC+1
Codice ISTAT,036041
Cod. catastale,I473
Targa,MO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 289 GG[3]"
Nome abitanti,Savignanesi
Patrono,Beata Vergine Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Savignano sul Panaro,Savignano sul Panaro
Savignano sul Panaro – MappaPosizione del comune di Savignano sul Panaro all'interno della provincia di Modena,Savignano sul Panaro – MappaPosizione del comune di Savignano sul Panaro all'interno della provincia di Modena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
