Frassinoro comune,Frassinoro comune.1
,
Frassinoro – Veduta,Frassinoro – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Modena
Amministrazione,Amministrazione
Sindaco,Elio Pierazzi (lista civica Vivere in montagna) dal 9-6-2024
Territorio,Territorio
Coordinate,44°17′47″N 10°34′16″E
Altitudine,1 131 m s.l.m.
Superficie,"95,46 km²"
Abitanti,1 706[1] (30-11-2025)
Densità,"17,87 ab./km²"
Frazioni,"Cargedolo, Fontanaluccia, Piandelagotti, Riccovolto, Romanoro, Pietravolta, Rovolo, San Pellegrino in Alpe, Sassatella, Spervara"
Comuni confinanti,"Castiglione di Garfagnana (LU), Montefiorino, Palagano, Pievepelago, Riolunato, Toano (RE), Villa Minozzo (RE)"
Altre informazioni,Altre informazioni
Cod. postale,41044
Prefisso,0536
Fuso orario,UTC+1
Codice ISTAT,036016
Cod. catastale,D783
Targa,MO
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona F, 3 972 GG[3]"
Nome abitanti,frassinoresi
Patrono,Santa Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Frassinoro,Frassinoro
Frassinoro – MappaPosizione del comune di Frassinoro all'interno della provincia di Modena,Frassinoro – MappaPosizione del comune di Frassinoro all'interno della provincia di Modena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
