Carpi comune,Carpi comune.1
,
Carpi – VedutaVeduta di piazza dei Martiri. Sulla sinistra il portico Lungo e in fondo la cattedrale di Santa Maria Assunta,Carpi – VedutaVeduta di piazza dei Martiri. Sulla sinistra il portico Lungo e in fondo la cattedrale di Santa Maria Assunta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Modena
Amministrazione,Amministrazione
Sindaco,Riccardo Righi (indipendente di centro-sinistra) dal 10-6-2024
Territorio,Territorio
Coordinate,44°47′00″N 10°53′06″E
Altitudine,26 m s.l.m.
Superficie,"131,54 km²"
Abitanti,74 028[1] (30-11-2025)
Densità,"562,78 ab./km²"
Frazioni,"Budrione, Cortile, Fossoli, Gargallo, Migliarina, Santa Croce, San Marino, San Martino Secchia[2]"
Comuni confinanti,"Campogalliano, Cavezzo, Correggio (RE), Fabbrico (RE), Modena, Novi di Modena, Rio Saliceto (RE), Rolo (RE), San Prospero, Soliera"
Altre informazioni,Altre informazioni
Cod. postale,41012
Prefisso,059
Fuso orario,UTC+1
Codice ISTAT,036005
Cod. catastale,B819
Targa,MO
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 246 GG[4]"
Nome abitanti,carpigiani
Patrono,"san Bernardino da Siena, san Bernardino Realino"
Giorno festivo,20 maggio
Cartografia,Cartografia
Carpi,Carpi
Carpi – MappaPosizione del comune di Carpi all'interno della provincia di Modena,Carpi – MappaPosizione del comune di Carpi all'interno della provincia di Modena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
