Bastiglia comune,Bastiglia comune.1
,
Bastiglia – Veduta,Bastiglia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Modena
Amministrazione,Amministrazione
Sindaco,Francesca Silvestri (centro-sinistra) dal 26-5-2014
Territorio,Territorio
Coordinate,44°43′37.09″N 10°59′54.96″E
Altitudine,27 m s.l.m.
Superficie,"10,47 km²"
Abitanti,4 242[1] (30-11-2025)
Densità,"405,16 ab./km²"
Frazioni,San Clemente
Comuni confinanti,"Bomporto, Modena, Soliera"
Altre informazioni,Altre informazioni
Cod. postale,41030
Prefisso,059
Fuso orario,UTC+1
Codice ISTAT,036001
Cod. catastale,A713
Targa,MO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 247 GG[3]"
Nome abitanti,bastigliesi
Patrono,santa Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Bastiglia,Bastiglia
Bastiglia – MappaPosizione del comune di Bastiglia all'interno della provincia di Modena,Bastiglia – MappaPosizione del comune di Bastiglia all'interno della provincia di Modena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
