Camposanto comune,Camposanto comune.1
,
Camposanto – Veduta,Camposanto – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Modena
Amministrazione,Amministrazione
Sindaco,Monja Zaniboni (lista civica di centro-sinistra Noi per Camposanto) dall'11-6-2018 (2º mandato dal 14-5-2023)
Territorio,Territorio
Coordinate,44°47′56.1″N 11°09′15.97″E
Altitudine,21 m s.l.m.
Superficie,"22,71 km²"
Abitanti,3 389[1] (30-11-2025)
Densità,"149,23 ab./km²"
Frazioni,"Bosco (nel Bosco della Saliceta), Bottegone, Cabianca, Cadecoppi, Ghirone, Gorzano, Passo, Passovecchio, Sant'Anna, Tre Case[2]"
Comuni confinanti,"Bomporto, Crevalcore (BO), Finale Emilia, Medolla, Ravarino, San Felice sul Panaro, San Prospero"
Altre informazioni,Altre informazioni
Cod. postale,41031
Prefisso,0535
Fuso orario,UTC+1
Codice ISTAT,036004
Cod. catastale,B566
Targa,MO
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 197 GG[4]"
Nome abitanti,camposantesi
Patrono,san Nicola di Bari
Giorno festivo,6 dicembre
Cartografia,Cartografia
Camposanto,Camposanto
Camposanto – MappaPosizione del comune di Camposanto all'interno della provincia di Modena,Camposanto – MappaPosizione del comune di Camposanto all'interno della provincia di Modena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
