Concordia sulla Secchia comune,Concordia sulla Secchia comune.1
,
Concordia sulla Secchia – VedutaIl palazzo comunale di Concordia sulla Secchia puntellato dopo i terremoti del 2012,Concordia sulla Secchia – VedutaIl palazzo comunale di Concordia sulla Secchia puntellato dopo i terremoti del 2012
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Modena
Amministrazione,Amministrazione
Sindaco,Marika Menozzi (Lista civica di centro-sinistra Cresciamo Concordia) dal 9-6-2024
Territorio,Territorio
Coordinate,44°54′44.57″N 10°58′57.22″E
Altitudine,22 m s.l.m.
Superficie,"40,97 km²"
Abitanti,8 525[1] (30-11-2025)
Densità,"208,08 ab./km²"
Frazioni,"Fossa, Santa Caterina, San Giovanni, Vallalta[2]"
Comuni confinanti,"Mirandola, Moglia (MN), Novi di Modena, Quistello (MN), San Giacomo delle Segnate (MN), San Giovanni del Dosso (MN), San Possidonio"
Altre informazioni,Altre informazioni
Cod. postale,41033
Prefisso,0535
Fuso orario,UTC+1
Codice ISTAT,036010
Cod. catastale,C951
Targa,MO
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 353 GG[4]"
Nome abitanti,concordiesi
Patrono,san Paolo Apostolo
Giorno festivo,25 gennaio
Cartografia,Cartografia
Concordia sulla Secchia,Concordia sulla Secchia
Concordia sulla Secchia – MappaPosizione del comune di Concordia sulla Secchia all'interno della provincia di Modena,Concordia sulla Secchia – MappaPosizione del comune di Concordia sulla Secchia all'interno della provincia di Modena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
