Sassuolo comune,Sassuolo comune.1
,
Sassuolo – VedutaVista del Palazzo Ducale,Sassuolo – VedutaVista del Palazzo Ducale
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Modena
Amministrazione,Amministrazione
Sindaco,Matteo Mesini (PD) dal 12-6-2024
Territorio,Territorio
Coordinate,44°33′06″N 10°47′08″E
Altitudine,128 m s.l.m.
Superficie,"38,4 km²"
Abitanti,41 141[1] (30-11-2025)
Densità,"1 071,38 ab./km²"
Frazioni,"Montegibbio, Salvarola, San Michele dei Mucchietti"
Comuni confinanti,"Casalgrande (RE), Castellarano (RE), Fiorano Modenese, Formigine, Prignano sulla Secchia, Serramazzoni"
Altre informazioni,Altre informazioni
Cod. postale,41049
Prefisso,0536
Fuso orario,UTC+1
Codice ISTAT,036040
Cod. catastale,I462
Targa,MO
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 447 GG[3]"
Nome abitanti,sassolesi
Patrono,san Giorgio
Giorno festivo,23 aprile
Motto,"Sic ex murice gemmae (""Dalla roccia sono sorte gemme"")"
Cartografia,Cartografia
Sassuolo,Sassuolo
Sassuolo – MappaPosizione del comune di Sassuolo all'interno della provincia di Modena,Sassuolo – MappaPosizione del comune di Sassuolo all'interno della provincia di Modena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
