Pievepelago comune,Pievepelago comune.1
,
Pievepelago – Veduta,Pievepelago – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Modena
Amministrazione,Amministrazione
Sindaco,Corrado Ferroni (lista civica di centro-sinistra) dal 7-6-2009 (4º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,44°12′45.23″N 10°37′02.6″E
Altitudine,781 m s.l.m.
Superficie,"76,54 km²"
Abitanti,2 105[1] (30-11-2025)
Densità,"27,5 ab./km²"
Frazioni,"Roccapelago, Sant'Andreapelago, Sant'Annapelago, Tagliole, Ca' di Serra[2]"
Comuni confinanti,"Barga (LU), Castiglione di Garfagnana (LU), Coreglia Antelminelli (LU), Fiumalbo, Fosciandora (LU), Frassinoro, Pieve Fosciana (LU), Riolunato"
Altre informazioni,Altre informazioni
Cod. postale,41027
Prefisso,0536
Fuso orario,UTC+1
Codice ISTAT,036031
Cod. catastale,G649
Targa,MO
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona F, 3 299 GG[4]"
Nome abitanti,pievaroli
Patrono,"Santa Maria Assunta, San Teodoro"
Giorno festivo,15 agosto e prima domenica di settembre
Cartografia,Cartografia
Pievepelago,Pievepelago
Pievepelago – MappaPosizione del comune di Pievepelago all'interno della provincia di Modena,Pievepelago – MappaPosizione del comune di Pievepelago all'interno della provincia di Modena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
