Fanano comune,Fanano comune.1
,
Fanano – Veduta,Fanano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Modena
Amministrazione,Amministrazione
Sindaco,Stefano Muzzarelli (lista civica di centro-sinistra Amare Fanano) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,44°12′44″N 10°47′50″E
Altitudine,640 m s.l.m.
Superficie,"89,91 km²"
Abitanti,2 987[1] (30-11-2025)
Densità,"33,22 ab./km²"
Frazioni,"Canevare Di Fanano, Fellicarolo, Lotta, Ospitale, Serrazzone, Trentino, Trignano"
Comuni confinanti,"Abetone Cutigliano (PT), Fiumalbo, Lizzano in Belvedere (BO), Montese, San Marcello Piteglio (PT), Sestola"
Altre informazioni,Altre informazioni
Cod. postale,41021
Prefisso,0536
Fuso orario,UTC+1
Codice ISTAT,036011
Cod. catastale,D486
Targa,MO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 095 GG[3]"
Nome abitanti,fananesi
Patrono,san Silvestro Papa
Giorno festivo,31 dicembre
Cartografia,Cartografia
Fanano,Fanano
Fanano – MappaPosizione del comune di Fanano all'interno della provincia di Modena,Fanano – MappaPosizione del comune di Fanano all'interno della provincia di Modena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
