San Prospero comune,San Prospero comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Modena
Amministrazione,Amministrazione
Sindaco,Sauro Borghi (centro-sinistra) dal 25-5-2025
Territorio,Territorio
Coordinate,44°47′00″N 11°01′00″E
Altitudine,22 m s.l.m.
Superficie,"34,56 km²"
Abitanti,6 260[1] (30-11-2025)
Densità,"181,13 ab./km²"
Frazioni,"San Lorenzo della Pioppa, San Martino Secchia, San Pietro in Elda, Staggia"
Comuni confinanti,"Bomporto, Camposanto, Carpi, Cavezzo, Medolla, Soliera"
Altre informazioni,Altre informazioni
Cod. postale,41030
Prefisso,059
Fuso orario,UTC+1
Codice ISTAT,036039
Cod. catastale,I133
Targa,MO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 199 GG[3]"
Nome abitanti,sanprosperesi
Patrono,san Prospero
Giorno festivo,24 novembre
Cartografia,Cartografia
San Prospero,San Prospero
San Prospero – MappaPosizione del comune di San Prospero all'interno della provincia di Modena,San Prospero – MappaPosizione del comune di San Prospero all'interno della provincia di Modena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
