Castelfranco Emilia comune,Castelfranco Emilia comune.1
,
Castelfranco Emilia – Veduta,Castelfranco Emilia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Modena
Amministrazione,Amministrazione
Sindaco,Giovanni Gargano (PD) dal 10-6-2019
Territorio,Territorio
Coordinate,44°35′48″N 11°03′10″E
Altitudine,42 m s.l.m.
Superficie,"102,51 km²"
Abitanti,33 639[1] (30-11-2025)
Densità,"328,15 ab./km²"
Frazioni,"Cavazzona (La Cavazauna), Gaggio di Piano (Gâz), Manzolino (Manzuléin), Panzano (Panzàn), Piumazzo (Pimâz), Rastellino (Rastléin), Recovato (Arcuè), Riolo (Ariôl)."
Comuni confinanti,"Anzola dell'Emilia (BO), Modena, Nonantola, San Cesario sul Panaro, San Giovanni in Persiceto (BO), Sant'Agata Bolognese (BO), Valsamoggia (BO)"
Altre informazioni,Altre informazioni
Cod. postale,41013
Prefisso,059
Fuso orario,UTC+1
Codice ISTAT,036006
Cod. catastale,C107
Targa,MO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 269 GG[3]"
Nome abitanti,castelfranchesi
Patrono,san Donnino
Giorno festivo,9 ottobre
Cartografia,Cartografia
Castelfranco Emilia,Castelfranco Emilia
Castelfranco Emilia – MappaPosizione del comune di Castelfranco Emilia all'interno della provincia di Modena,Castelfranco Emilia – MappaPosizione del comune di Castelfranco Emilia all'interno della provincia di Modena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
