Mirandola comune,Mirandola comune.1
,
Mirandola – VedutaIl palazzo comunale nel 2010,Mirandola – VedutaIl palazzo comunale nel 2010
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Modena
Amministrazione,Amministrazione
Sindaco,Letizia Budri (Lega) dal 24-06-2024
Territorio,Territorio
Coordinate,44°53′14.17″N 11°03′57.71″E
Altitudine,18 m s.l.m.
Superficie,"137,09 km²"
Abitanti,24 905[1] (30-11-2025)
Densità,"181,67 ab./km²"
Frazioni,"Gavello, Mortizzuolo, Quarantoli, San Giacomo Roncole, San Martino Spino, Tramuschio[2]"
Comuni confinanti,"Bondeno (FE), Cavezzo, Concordia sulla Secchia, Finale Emilia, Medolla, Poggio Rusco (MN), San Felice sul Panaro, San Giovanni del Dosso (MN), San Possidonio, Sermide e Felonica (MN)"
Altre informazioni,Altre informazioni
Cod. postale,41037
Prefisso,0535
Fuso orario,UTC+1
Codice ISTAT,036022
Cod. catastale,F240
Targa,MO
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 193 GG[4]"
Nome abitanti,mirandolesi
Patrono,san Possidonio
Giorno festivo,16 maggio
Cartografia,Cartografia
Mirandola,Mirandola
Mirandola – MappaPosizione del comune di Mirandola all'interno della provincia di Modena,Mirandola – MappaPosizione del comune di Mirandola all'interno della provincia di Modena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
